Code	Name	Address	Tel No	Fax No	Email	Contact Person	Created By	Date Created                                                                                                                                                                                                                                                                                                                                                                                                                                                    
015-OIL	OILGIANT CORP	#121 l p leviste st salcedo village makati city 1227	8431051/8434721	8127850		ANTHONY MALIXI	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                              
015-OLI	OLIVE MARINE SYSTEM CO (KOREA)	room no 604 dongnam b/d 1200-1 choyang dong dong-ku pusan korea	82514625303	82514625305		STEVE KIM/LYN	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                   
015-OLY	OLYMPIA PHILS INC	1402-1408 prse quirino ave cor south superhighway paco manila	5641321/5642201	5641341		ISABEL BARCELON	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                
015-OSI	ONE SEVEN INDUSTRIAL SUPPLY	100 int m  naval st bangkulasi south navotas m m	2386190			JOSEPH CALMA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                     
015-ONG	ONGS AUTO PARTS	# 428 mac arthur hi way manila valenzuela bulacan				MR ONG	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                             
015-OLC	ONGSIA LEAD & COMPANY	1347 49 soler st sta cruz manila	7331413/7341584			JACINTO ONG	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                    
015-OMS	OMYOT MACHINE SHOP AND BRAKE BONDING	677 manaval st bagumbayan navotas m m	2810325			NOEL L NICOLAS	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                     
015-ORM	ORIENT MARKETING	general santos city				KIM DOO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                         
015-ORG	ORIGON MERCHANDISING (GENSAN)	general santos city					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                   
015-OTE	OTEX INC	2042 taft ave pasay city	5258866/4043895	8319341		GWEN CHUA/ANGIE J ARAGA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                      
015-OTO	OTON VULCANIZING SHOP	74 m naval st brgy flores malabon city					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                        
016-PKA	P AUSTRIA	2836485				PEKING AUSTRIA MANILA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                              
016-PIH	P I HARDWARE & MILL SUPPLY INC	c santiago st dalandanan valenzuela m m	4136161	7243102		EDWIN ONG	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                       
016-PUR	P U RIGID INSULATION CONTRACTOR	5710 pagulayan st poblacion makati city	8978388/6452365	8978215		TOM VALLE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                              
016-PAA	PACIFICA AGRIVET (GENSAN)	gen santos city					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                           
016-PAD	PADACO MARINE WORKS AND SHIPBUILDING CORP	fishery port complex nbb navotas m m	2810467				TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                               
016-PAL	PALEENO AP	tondo manila - fax:252-9186	5276796, 2529184 to 86 ,Cel. no.09233201174	527-9057		AMADEO A1 MAS/LINETH/BELSON,NORBERTO DE JESUS	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                              
016-PAN	PANPISCO- PAN PACIFIC IND'L SALES CO INC	panpisco bldg 246-262 escolla st manila	2428765 to 74	2431392,2421454		RAUL RIVERA/ROMEO PANELA-TIN-000-330-873-000VAT	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                         
016-PWS	PATRICK WATER SUPPLY	133 apahap nabbs navotas m m	2924509				TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                            
016-PAU	PAUERKEM INDUSTRIAL CORP	68 mendoza st san francisco del monte quezon city	3716966/4116277			CHITO MARTIN	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                               
016-PNP	PENS AND PALS	4/f malabon citi square c 4 road longos malabon city 1472				YULINA T INTIA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                               
016-PIS	PENTA-ISLES INC	uni 9 pilar development compound pilar village las pinas city	8062789	8061701/8023585		JEFFREY PASAYLO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                  
016-PEP	PEPE AUTO REPAIR SHOP	34 gov pascual st concepcion malabon city				JOSE A TOBIAS	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                        
016-PER	PEREZ RADIATOR REPAIR SHOP	156 gen luna st brgy ibaba malabon city				MR RENATO P PEREZ	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
016-PET	PETE D B MARINE SUPPLY	langaray kaunlaran village caloocan city				PETE D BISCHOCHO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
016-PEE	PETREL ENGINEERING (PTY) LTD	6 dacres ave epping industria II cape town po box 136 epping dust 7475 south africa	27215342451	27215346039			TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                              
016-PPC	PHILAM PEST CONTROL	1591 Jimenez St. San Andres Bukid Sta. Ana, Manila	561-3433/0916-3982596			ARTEMIO H CLAVERIA/TONY QUITIOL	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                          
016-PPG	PHILAM PEST CONTROL (GENSAN)	J.P. Laurel North cor., Mangga St. General Santos City (09163982596)	(083)555-8605 / (083)554-7854 / 3013013			ANTONIO L QUITOL	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                            
016-PHI	PHIL FUJI XEROX CORP	pfxcbldg km 14 west service road adison ave south super highway paranaque	7493751/ to 53/8238731			BOY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                             
016-PSW	PHIL STRING WATER RESOURCES(GENSAN)	general santos city					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                             
016-PWI	PHIL WASHIN INDUSTRIAL CORP	25 pagatpat st veterans village proj 7 QC 1105	(632)373656	(632)3764778		CALOY SAN GABRIEL	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                  
016-PIO	PIO CORDOVA	gen san city				PIO CORDOVA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
016-PCM	PLATING CENTER (PHIL) MACHINE SHOP	8504 km 17 east service rd south superhighway bicutan paranaque m m	8370281/5469754	8370281		RODOLFO D BARRAMEDA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                     
016-PDI	POLLY DOOR INDUSTRIAL SALES CORP	60 leono st tanong malabon city	2814099/2825603	2814824			TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                              
016-POL	POLYMER PRODUCTS (PHIL) INC	436 edsa mcu kalookan city	3341780			BOY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                    
016-POC	PONA CRAFT	1122 m naval st brgy san jose navotas m m	2829308	2821392		LOUIE NAVAL	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                       
016-POR	PORVENIR TRADING	710 porvenir st quiapo	7352556/7341745	7431745		TABUGO ANTONIO(TONY)	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                   
016-PCS	STEEL TRUST	16 Federico Cor. Benjamin St., San Rafael Vill.,Balut, Navotas City	2986371, 371-0364 to 75 Cell No. (romel) 09228723182,	371-1239 / 1246		STEVE CHAN (OLD POWER CONSTUCTION)ROMEL CAYARI	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                   
016-PDA	POWER DRIVE AUTO SUPPLY	north bay blvd navotas				REY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                   
016-PRG	PR1 GAS INC	37 u north bay blvd navotas m m	2818127/	2827041		MARY ANN	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                  
016-PRE	PREMIERE PHYSIC METROLOGIE	Unit A 2nd Floor JL Bldg., Dona Soledad Ext. Better Living Subd. 1700 Paranaque City	776-5280 / 541-3198 / 491-6347 / 387-0974	776-5280	www.ppmcal.com / metrology@ppmcalab.com	ROXAN L ROXAS/RAIN-821-9014/09217470920	TPJ	08-SEP-2007                                                                                                                                                                                                                                                      
016-PRI	PRIMAR ENGINEERING & FABRICATION	#120 asistio st bet serrano & san diego st caloocan city	361-88-02 ( Residential ) / 364-46-55	361-32-09		BOY VIC DE GUZMAN	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                            
016-PRM	PRIM WIL GEN MDSE	208 m aling nena st navotas m m				WILFREDO ESTRADA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                   
016-PRO	PROPELLER SPECIALIST CORP	north bay blvd south navotas m m	09197036330/2815866			NENE SALAO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                             
016-PRP	PROPMECH CORP (MARINE TECHNOLOGY CENTER)	aduanan cor arzobispo st intramuros manila	 (manila-527-9055) 526-2835,536-1827-philip / 536-1739 (Mike	526-2835 / 536-9892        (Marco)	sherwin.santiago@propmech.com	JEFF YAMBAO/CHIEF MUTING (JEFF CEL.09228922379) SHERWIN	TPJ	08-SEP-2007                                                                                                                                                                                                                               
016-PRT	PROTECH MACHINERY CORP.		 288-9335 (ann),287-2489 - Fax	831-2961		JO -521-2365, 522-2582-KYOBO, NARDO (JOSIE NUBLA)	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                     
016-PRY	PRYCE GAS INC (GENSAN)	general santos					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                               
016-PMC	PSP MANUFACTURING COMPANY INC	83292 a santos ave paranaque m m	8264081 to 85	8258349		JUN RAYOS	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                         
016-PTM	PT OCEAN MITRAMAS BITUNG (BITUNG)	bitung					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                            
016-PUN	PUNZAR PRINTING PRESS	157 humildad st pasay city -430-0168	431-0979 / 782-9564	430-0168 / 430-3739		VIRGINIA PUNZALAN,GRACE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                             
016-PFD	PURE FRESH DRINKING WATER	m de vera navotas	288-93-88	288-93-88		KURNUDO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                
016-PGP	PURE GOLD PRICE CLUB TAYUMAN INC	31 tayuman st tondo manila/277-9176 Marie	253-80-91-92 / 253-4761 (wholesale) -253-4761 Jona or Andrea	253- 4761 - 253-80-86/customer service 253-4771		JUN VILLAR,MARIE LANCETA CELL.0922-8381918/0920-9100477	TPJ	08-SEP-2007                                                                                                                                                                                                                                                        
016-PEI	PYRO ELECTRIC  INDUSTRIAL SUPPLY	6115 el grande homes gen t de leon valenzuela city	4320538/2939492	4443877		SARAH JANE BUENAOBRA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                       
016-PYT	PYTHON TRADING	dagat dagatan navotas m m					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                            
017-QPW	QUALI PURE WATER	101 a cruz tangos navotas	2829385			EMILY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                              
017-QUE	QUALITY SPECIAL	a leongson st navotas m m				CAHANDING	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                  
017-QIT	QUANTUM INDUSTRIAL TRADING	11 kentucky st sfdm QC	4164026	4164026		MITCH REYES	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                          
018-RCM	RC MACHINE SHOP	1222 M. Naval St.,Daanghari, Navotas City	288-5751 / 351-1266 / 351-1277	351-1266	rc_machine_shop@yahoo.com	R CHAMPO/ OBET	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                              
018-RCE	R CERVANTES HYRAULIC CENTER	179 n carpio st 6th ave (west) grace park caloocan city	3633701/3649689	3649689		RUBEN CERVANTES	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                            
018-REA	RE AUTO SUPPLY	branch 72 c3 road kaunlaran village dagt dagatan caloocan city	2878747/2879267			YAP/WILLY	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                               
018-RLM	RL MALANSING	1264 m naval st navotas m m	2884861			RICARDO F MALANSING	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                  
018-RYE	RYEE ELECTRICAL AND REWINDING SHOP (GENSAN)	bo obrero gen san city	09264508067			RODELIO YEE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                            
018-RMA	R MAYORS TRADING	navotas	281-03-55,351-1224	2823495		PINONG (CELL. 09219989114)/MARLENE	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
018-RLT	R & LT SHIPYARD REALTY AND DEVELOPMENT CORP	51 e roodriguez st tanza navotas	2810094	8218162		MR JOHN REY TIANGCO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
018-RAS	RAILROAD AUTO SUPPLY & GEN MDSE	sta cruz manila	2559157				TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                              
018-RAM	RAMON BEARING SALES	1209 benevidez st sta cruz manila	254-8676	254-8685		JUN, ROSIE, MARLON	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                             
018-RSS	RAMON S SABLAN(NET, TWINE & ROPE)	navotas m m				RAMON	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                  
018-RAQ	RAQUEL ESTRELLA(PRIME VERA)	marikina	6466397 to 98	6466380		RAQUEL ESTRELLA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                             
018-RAY	RAYJAN RESOURCES	417 -419 north bay blvd navotas m m	2823920/2824509	2824509			TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                          
018-RLF	RAY-LANZ FOOTWEAR (GENSAN)	#98 phase a public gen santos city				PURITA J SUICO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                         
018-RBF	RBF REPAIR SHOP	navotas					TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
018-RCB	RC BERNARDO AUTOMOTIVE WORKS AND AUTO SUPPLY	blk 31 lot 72 lapulapu ave nbbs navotas m m	4478222			OLET	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                 
018-RDP	RD PAREDES	rdparedes@rd-png.com.org				RD	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                               
018-RDJ	RDJM DRUM ENTERPRISES	261 h lopez st balut tondo manila	2529859			VIRGIE/DELIA	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                          
018-REG	REGAN PRINTERS	second floor victoria bldg 142 mindanao ave quezon city	9265306	9265305		ROBERT SOMBILLO	TPJ	08-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                 
008-HEX	HEXAGON DISTRIBUTING CORP(GENSAN)	general santos city	09063316808			RAMOND VILLFLOR	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                     
008-HIM	HI MARK SALES INC	614 sales st quiapo manila	7334426			ROMMEL	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                           
008-HIA	HIAP GEE COMMERCIAL	#611 t alonzo st sta cruz manila	7336480	7335640		BOY	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                               
008-HIN	HINO PARTS	kalookan city	3613293	3614266		FPJ	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                           
008-HTE	HI TECH (CALIBRATION SPECIALIST)	115 north aby blvd navotas m m	8316479/8332739			MARVIN ONGTECO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                        
008-HYD	HYDRAUMIND EQUIPMENT PARTS	caloocan city	3645209				TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                                                     
008-HDT	HYDROTECH ENGINEERING SERVIOCES(CEBU)	44-42 sanciangco st cebu city	(032)4698701	(032)4137023/2543201		RONQUILLO DACLAN	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                 
009-ICE	GSC ICELAND FREFRIGERATION SUPPLY, INC (GENSAN)	69 a salazar st general santos city	5522089				TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                          
009-IMO	IMO UPHOLSTERY(EDMUNDO GENUINO)	phase I c blk 10 lot 2 dagat dagatan ave	2738329			DEMUNDO GENUINO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                      
009-IMP	IMPERIAL APPLIANCE PLAZA (GENSAN)	lnj uido bldg l santiago blvd gen santos city	0835527147			SALES	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                      
009-IWC	INDUSTRIAL WELDING CORP	#17 mcarthur hi way malabon city	363-7865	365-3302		NORA (SALE) FE (SERVICE)/BING - W.ROD	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                       
009-INK	INK EXPRESS CORP	285 c guevarra st san juan metro manila	7445550	7445551		ROMMEL DEE CO	TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                                                                                 
009-INL	INLAND WORLD & CO INC (PETROLEUM DIVISION)	2nd floor rm 2a mile long center amorsolo st cor herrera st legaspi vill makati city	5276519	5273781			TPJ	07-SEP-2007                                                                                                                                                                                                                                                                                                                                                       
